county,precinct,office,district,Candidate,party,votes,election_day,early_voting,mail,provisional,Limited
Kleberg,11,Registered Voters,,,,1701,,,,,
Kleberg,12,Registered Voters,,,,1262,,,,,
Kleberg,13.14,Registered Voters,,,,1799,,,,,
Kleberg,21,Registered Voters,,,,448,,,,,
Kleberg,22.23,Registered Voters,,,,2160,,,,,
Kleberg,24,Registered Voters,,,,1268,,,,,
Kleberg,31,Registered Voters,,,,1285,,,,,
Kleberg,32,Registered Voters,,,,1114,,,,,
Kleberg,33.34,Registered Voters,,,,1246,,,,,
Kleberg,35,Registered Voters,,,,1070,,,,,
Kleberg,41.42,Registered Voters,,,,1472,,,,,
Kleberg,43,Registered Voters,,,,1508,,,,,
Kleberg,44,Registered Voters,,,,520,,,,,
Kleberg,45,Registered Voters,,,,817,,,,,
Kleberg,Total,Registered Voters,,,,17670,,,,,
Kleberg,11,Ballots Cast,,,REP,155,71,76,7,1,0
Kleberg,12,Ballots Cast,,,REP,135,78,50,7,0,0
Kleberg,13.14,Ballots Cast,,,REP,121,46,66,9,0,0
Kleberg,21,Ballots Cast,,,REP,10,4,5,1,0,0
Kleberg,22.23,Ballots Cast,,,REP,141,80,53,8,0,0
Kleberg,24,Ballots Cast,,,REP,92,56,31,5,0,0
Kleberg,31,Ballots Cast,,,REP,133,69,56,8,0,0
Kleberg,32,Ballots Cast,,,REP,75,37,32,6,0,0
Kleberg,33.34,Ballots Cast,,,REP,248,184,57,7,0,0
Kleberg,35,Ballots Cast,,,REP,112,76,35,1,0,0
Kleberg,41.42,Ballots Cast,,,REP,24,11,9,4,0,0
Kleberg,43,Ballots Cast,,,REP,84,51,32,1,0,0
Kleberg,44,Ballots Cast,,,REP,24,11,12,1,0,0
Kleberg,45,Ballots Cast,,,REP,22,14,8,0,0,0
Kleberg,Total,Ballots Cast,,,REP,1376,788,522,65,1,0
Kleberg,11,Ballots Cast,,,DEM,135,72,47,14,0,2
Kleberg,12,Ballots Cast,,,DEM,90,51,30,9,0,0
Kleberg,13.14,Ballots Cast,,,DEM,218,96,91,31,0,0
Kleberg,21,Ballots Cast,,,DEM,46,22,17,7,0,0
Kleberg,22.23,Ballots Cast,,,DEM,199,110,72,17,0,0
Kleberg,24,Ballots Cast,,,DEM,113,71,29,13,0,0
Kleberg,31,Ballots Cast,,,DEM,114,60,46,8,0,0
Kleberg,32,Ballots Cast,,,DEM,106,62,37,7,0,0
Kleberg,33.34,Ballots Cast,,,DEM,125,84,34,7,0,0
Kleberg,35,Ballots Cast,,,DEM,102,66,27,9,0,0
Kleberg,41.42,Ballots Cast,,,DEM,234,99,99,36,0,0
Kleberg,43,Ballots Cast,,,DEM,204,92,93,19,0,0
Kleberg,44,Ballots Cast,,,DEM,50,17,25,8,0,0
Kleberg,45,Ballots Cast,,,DEM,172,76,67,28,1,0
Kleberg,Total,Ballots Cast,,,DEM,1908,978,714,213,1,2
Kleberg,11,U.S. Senate,,Geraldine Sam,REP,2,1,1,0,0,0
Kleberg,12,U.S. Senate,,Geraldine Sam,REP,5,2,3,0,0,0
Kleberg,13.14,U.S. Senate,,Geraldine Sam,REP,5,0,5,0,0,0
Kleberg,21,U.S. Senate,,Geraldine Sam,REP,1,0,1,0,0,0
Kleberg,22.23,U.S. Senate,,Geraldine Sam,REP,3,2,1,0,0,0
Kleberg,24,U.S. Senate,,Geraldine Sam,REP,4,3,0,1,0,0
Kleberg,31,U.S. Senate,,Geraldine Sam,REP,3,1,2,0,0,0
Kleberg,32,U.S. Senate,,Geraldine Sam,REP,3,0,3,0,0,0
Kleberg,33.34,U.S. Senate,,Geraldine Sam,REP,5,4,1,0,0,0
Kleberg,35,U.S. Senate,,Geraldine Sam,REP,1,1,0,0,0,0
Kleberg,41.42,U.S. Senate,,Geraldine Sam,REP,0,0,0,0,0,0
Kleberg,43,U.S. Senate,,Geraldine Sam,REP,5,3,2,0,0,0
Kleberg,44,U.S. Senate,,Geraldine Sam,REP,0,0,0,0,0,0
Kleberg,45,U.S. Senate,,Geraldine Sam,REP,0,0,0,0,0,0
Kleberg,Total,U.S. Senate,,Geraldine Sam,REP,37,17,19,1,0,0
Kleberg,11,U.S. Senate,,Ted Cruz,REP,133,60,65,7,1,0
Kleberg,12,U.S. Senate,,Ted Cruz,REP,108,66,36,6,0,0
Kleberg,13.14,U.S. Senate,,Ted Cruz,REP,93,37,49,7,0,0
Kleberg,21,U.S. Senate,,Ted Cruz,REP,9,4,4,1,0,0
