county,precinct,office,district,party,candidate,votes,election_day,early_voting
Wheeler,1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",2,1,1
Wheeler,1,U.S. Senate,,REP,Stefano de Stefano,0,0,0
Wheeler,1,U.S. Senate,,REP,Geraldine Sam,1,0,1
Wheeler,1,U.S. Senate,,REP,Over Votes,0,0,0
Wheeler,1,U.S. Senate,,REP,Under Votes,3,3,0
Wheeler,1,U.S. Senate,,REP,Ted Cruz,86,59,27
Wheeler,1,U.S. Senate,,REP,Mary Miller,2,1,1
Wheeler,1,U.S. House,13,REP,Mac Thornberry,83,58,25
Wheeler,1,U.S. House,13,REP,Over Votes,0,0,0
Wheeler,1,U.S. House,13,REP,Under Votes,10,6,4
Wheeler,1,Governor,,REP,Greg Abbott,86,58,28
Wheeler,1,Governor,,REP,SECEDE Kilgore,2,1,1
Wheeler,1,Governor,,REP,Barbara Krueger,1,1,0
Wheeler,1,Lieutenant Governor,,REP,Dan Patrick,53,37,16
Wheeler,1,Lieutenant Governor,,REP,Scott Milder,37,24,13
Wheeler,1,Lieutenant Governor,,REP,Over Votes,0,0,0
Wheeler,1,Lieutenant Governor,,REP,Under Votes,4,3,1
Wheeler,1,Attorney General,,REP,Ken Paxton,84,58,26
Wheeler,1,Comptroller of Public Accounts,,REP,Glenn Hegar,83,57,26
Wheeler,1,Comptroller of Public Accounts,,REP,Over Votes,0,0,0
Wheeler,1,Comptroller of Public Accounts,,REP,Under Votes,10,7,3
Wheeler,1,Commissioner of the General Land Office,,REP,Rick Range,9,9,0
Wheeler,1,Commissioner of the General Land Office,,REP,George P. Bush,56,34,22
Wheeler,1,Commissioner of the General Land Office,,REP,Jerry Patterson,13,10,3
Wheeler,1,Commissioner of the General Land Office,,REP,Davey Edwards,4,3,1
Wheeler,1,Commissioner of the General Land Office,,REP,Over Votes,0,0,0
Wheeler,1,Commissioner of the General Land Office,,REP,Under Votes,11,8,3
Wheeler,1,Commissioner of Agriculture,,REP,Sid Miller,54,40,14
Wheeler,1,Commissioner of Agriculture,,REP,Trey Blocker,15,6,9
Wheeler,1,Commissioner of Agriculture,,REP,Jim Hogan,11,6,5
Wheeler,1,Railroad Commissioner,,REP,Christi Craddick,65,39,26
Wheeler,1,Railroad Commissioner,,REP,Over Votes,0,0,0
Wheeler,1,Railroad Commissioner,,REP,Under Votes,13,12,1
Wheeler,1,Railroad Commissioner,,REP,Weston Martinez,15,13,2
Wheeler,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,75,51,24
Wheeler,1,"Justice, Supreme Court, Place 2",,REP,Over Votes,0,0,0
Wheeler,1,"Justice, Supreme Court, Place 2",,REP,Under Votes,19,13,6
Wheeler,1,"Justice, Supreme Court, Place 4",,REP,John Devine,73,51,22
Wheeler,1,"Justice, Supreme Court, Place 4",,REP,Over Votes,0,0,0
Wheeler,1,"Justice, Supreme Court, Place 4",,REP,Under Votes,21,13,8
Wheeler,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,76,52,24
Wheeler,1,"Justice, Supreme Court, Place 6",,REP,Over Votes,0,0,0
Wheeler,1,"Justice, Supreme Court, Place 6",,REP,Under Votes,18,12,6
Wheeler,1,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,41,29,12
Wheeler,1,"Presiding Judge, Court of Criminal Appeals",,REP,Over Votes,0,0,0
Wheeler,1,"Presiding Judge, Court of Criminal Appeals",,REP,Under Votes,20,13,7
Wheeler,1,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,32,22,10
Wheeler,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,73,51,22
Wheeler,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Over Votes,0,0,0
Wheeler,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Under Votes,21,13,8
Wheeler,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,31,19,12
Wheeler,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,30,25,5
Wheeler,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,7,2,5
Wheeler,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Over Votes,0,0,0
Wheeler,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Under Votes,25,18,7
Wheeler,1,State Senator,31,REP,Victor Leal,20,13,7
Wheeler,1,State Senator,31,REP,Over Votes,0,0,0
Wheeler,1,State Senator,31,REP,Under Votes,3,2,1
Wheeler,1,State Senator,31,REP,Kel Seliger,47,32,15
Wheeler,1,State Senator,31,REP,Mike Canon,24,17,7
Wheeler,1,State Representative,68,REP,Drew Springer,78,54,24
Wheeler,1,State Representative,68,REP,Over Votes,0,0,0
Wheeler,1,State Representative,68,REP,Under Votes,16,10,6
Wheeler,1,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,75,52,23
Wheeler,1,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Over Votes,0,0,0
Wheeler,1,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Under Votes,19,12,7
Wheeler,1,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,76,52,24
Wheeler,1,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Over Votes,0,0,0
Wheeler,1,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Under Votes,18,12,6
Wheeler,1,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,82,58,24
Wheeler,1,"District Judge, 31st Judicial District",,REP,Over Votes,0,0,0
Wheeler,1,"District Judge, 31st Judicial District",,REP,Under Votes,12,6,6
Wheeler,1,County Judge,,REP,Jerry Dan Hefley,50,31,19
Wheeler,1,County Judge,,REP,Over Votes,0,0,0
Wheeler,1,County Judge,,REP,Under Votes,0,0,0
Wheeler,1,County Judge,,REP,Ike Finsterwald,44,33,11
Wheeler,1,District Clerk,,REP,Sherri Jones,87,59,28
Wheeler,1,District Clerk,,REP,Over Votes,0,0,0
Wheeler,1,District Clerk,,REP,Under Votes,7,5,2
Wheeler,1,County Clerk,,REP,Margaret Dorman,84,57,27
Wheeler,1,County Clerk,,REP,Over Votes,0,0,0
Wheeler,1,County Clerk,,REP,Under Votes,10,7,3
Wheeler,1,County Treasurer,,REP,Renee Warren,85,58,27
Wheeler,1,County Treasurer,,REP,Over Votes,0,0,0
Wheeler,1,County Treasurer,,REP,Under Votes,9,6,3
Wheeler,1,"Justice of the Peace, Precinct No. 1",,REP,Mark Brown,84,57,27
Wheeler,1,"Justice of the Peace, Precinct No. 1",,REP,Over Votes,0,0,0
Wheeler,1,"Justice of the Peace, Precinct No. 1",,REP,Under Votes,10,7,3
Wheeler,1,County Chairman,,REP,Elizabeth McDowell,80,54,26
Wheeler,1,County Chairman,,REP,Over Votes,0,0,0
Wheeler,1,County Chairman,,REP,Under Votes,14,10,4
Wheeler,1,Proposition 1,,,YES,46,33,13
Wheeler,1,Proposition 1,,,Over Votes,0,0,0
Wheeler,1,Proposition 1,,,Under Votes,11,8,3
Wheeler,1,Proposition 1,,,NO,37,23,14
Wheeler,1,Proposition 2,,,YES,70,50,20
Wheeler,1,Proposition 2,,,Over Votes,0,0,0
Wheeler,1,Proposition 2,,,Under Votes,12,7,5
Wheeler,1,Proposition 2,,,NO,12,7,5
Wheeler,1,Proposition 3,,,YES,80,55,25
Wheeler,1,Proposition 3,,,Over Votes,0,0,0
Wheeler,1,Proposition 3,,,Under Votes,9,6,3
Wheeler,1,Proposition 3,,,NO,5,3,2
Wheeler,1,Proposition 4,,,YES,74,51,23
Wheeler,1,Proposition 4,,,Over Votes,0,0,0
Wheeler,1,Proposition 4,,,Under Votes,10,6,4
Wheeler,1,Proposition 4,,,NO,10,7,3
Wheeler,1,Proposition 5,,,YES,49,38,11
Wheeler,1,Proposition 5,,,Over Votes,0,0,0
Wheeler,1,Proposition 5,,,Under Votes,7,3,4
Wheeler,1,Proposition 5,,,NO,37,23,14
Wheeler,1,Proposition 6,,,YES,85,60,25
Wheeler,1,Proposition 6,,,Over Votes,0,0,0
Wheeler,1,Proposition 6,,,Under Votes,5,2,3
Wheeler,1,Proposition 6,,,NO,4,2,2
Wheeler,1,Proposition 7,,,YES,75,50,25
Wheeler,1,Proposition 7,,,Over Votes,0,0,0
Wheeler,1,Proposition 7,,,Under Votes,7,4,3
Wheeler,1,Proposition 7,,,NO,12,10,2
Wheeler,1,Proposition 8,,,YES,88,61,27
Wheeler,1,Proposition 8,,,Over Votes,0,0,0
Wheeler,1,Proposition 8,,,Under Votes,4,1,3
Wheeler,1,Proposition 8,,,NO,2,2,0
Wheeler,1,Proposition 9,,,YES,85,60,25
Wheeler,1,Proposition 9,,,Over Votes,0,0,0
Wheeler,1,Proposition 9,,,Under Votes,6,3,3
Wheeler,1,Proposition 9,,,NO,3,1,2
Wheeler,1,Proposition 10,,,YES,79,57,22
Wheeler,1,Proposition 10,,,Over Votes,0,0,0
Wheeler,1,Proposition 10,,,Under Votes,7,3,4
Wheeler,1,Proposition 10,,,NO,8,4,4
Wheeler,1,Proposition 11,,,YES,72,49,23
Wheeler,1,Proposition 11,,,Over Votes,0,0,0
Wheeler,1,Proposition 11,,,Under Votes,7,4,3
Wheeler,1,Proposition 11,,,NO,15,11,4
Wheeler,2,U.S. Senate,,REP,"Bruce Jacobson, Jr.",5,2,3
Wheeler,2,U.S. Senate,,REP,Stefano de Stefano,1,1,0
Wheeler,2,U.S. Senate,,REP,Geraldine Sam,1,1,0
Wheeler,2,U.S. Senate,,REP,Over Votes,0,0,0
Wheeler,2,U.S. Senate,,REP,Under Votes,22,9,13
Wheeler,2,U.S. Senate,,REP,Ted Cruz,178,91,87
Wheeler,2,U.S. Senate,,REP,Mary Miller,12,7,5
Wheeler,2,U.S. House,13,REP,Mac Thornberry,174,88,86
Wheeler,2,U.S. House,13,REP,Over Votes,0,0,0
Wheeler,2,U.S. House,13,REP,Under Votes,43,23,20
Wheeler,2,Governor,,REP,Greg Abbott,169,91,78
Wheeler,2,Governor,,REP,SECEDE Kilgore,4,2,2
Wheeler,2,Governor,,REP,Barbara Krueger,9,3,6
Wheeler,2,Lieutenant Governor,,REP,Dan Patrick,112,63,49
Wheeler,2,Lieutenant Governor,,REP,Scott Milder,77,35,42
Wheeler,2,Lieutenant Governor,,REP,Over Votes,0,0,0
Wheeler,2,Lieutenant Governor,,REP,Under Votes,30,13,17
Wheeler,2,Attorney General,,REP,Ken Paxton,163,85,78
Wheeler,2,Comptroller of Public Accounts,,REP,Glenn Hegar,154,81,73
Wheeler,2,Comptroller of Public Accounts,,REP,Over Votes,0,0,0
Wheeler,2,Comptroller of Public Accounts,,REP,Under Votes,63,30,33
Wheeler,2,Commissioner of the General Land Office,,REP,Rick Range,22,8,14
Wheeler,2,Commissioner of the General Land Office,,REP,George P. Bush,123,67,56
Wheeler,2,Commissioner of the General Land Office,,REP,Jerry Patterson,27,16,11
Wheeler,2,Commissioner of the General Land Office,,REP,Davey Edwards,5,4,1
Wheeler,2,Commissioner of the General Land Office,,REP,Over Votes,0,0,0
Wheeler,2,Commissioner of the General Land Office,,REP,Under Votes,42,16,26
Wheeler,2,Commissioner of Agriculture,,REP,Sid Miller,98,54,44
Wheeler,2,Commissioner of Agriculture,,REP,Trey Blocker,37,21,16
Wheeler,2,Commissioner of Agriculture,,REP,Jim Hogan,29,14,15
Wheeler,2,Railroad Commissioner,,REP,Christi Craddick,132,77,55
Wheeler,2,Railroad Commissioner,,REP,Over Votes,0,0,0
Wheeler,2,Railroad Commissioner,,REP,Under Votes,59,21,38
Wheeler,2,Railroad Commissioner,,REP,Weston Martinez,27,13,14
Wheeler,2,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,139,77,62
Wheeler,2,"Justice, Supreme Court, Place 2",,REP,Over Votes,0,0,0
Wheeler,2,"Justice, Supreme Court, Place 2",,REP,Under Votes,74,34,40
Wheeler,2,"Justice, Supreme Court, Place 4",,REP,John Devine,138,75,63
Wheeler,2,"Justice, Supreme Court, Place 4",,REP,Over Votes,0,0,0
Wheeler,2,"Justice, Supreme Court, Place 4",,REP,Under Votes,77,36,41
Wheeler,2,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,137,76,61
Wheeler,2,"Justice, Supreme Court, Place 6",,REP,Over Votes,0,0,0
Wheeler,2,"Justice, Supreme Court, Place 6",,REP,Under Votes,78,35,43
Wheeler,2,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,106,56,50
Wheeler,2,"Presiding Judge, Court of Criminal Appeals",,REP,Over Votes,0,0,0
Wheeler,2,"Presiding Judge, Court of Criminal Appeals",,REP,Under Votes,68,26,42
Wheeler,2,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,43,29,14
Wheeler,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,138,74,64
Wheeler,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Over Votes,0,0,0
Wheeler,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Under Votes,77,37,40
Wheeler,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,79,41,38
Wheeler,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,50,30,20
Wheeler,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,13,9,4
Wheeler,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Over Votes,0,0,0
Wheeler,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Under Votes,75,31,44
Wheeler,2,State Senator,31,REP,Victor Leal,75,43,32
Wheeler,2,State Senator,31,REP,Over Votes,0,0,0
Wheeler,2,State Senator,31,REP,Under Votes,8,4,4
Wheeler,2,State Senator,31,REP,Kel Seliger,92,33,59
Wheeler,2,State Senator,31,REP,Mike Canon,43,31,12
Wheeler,2,State Representative,68,REP,Drew Springer,169,86,83
Wheeler,2,State Representative,68,REP,Over Votes,0,0,0
Wheeler,2,State Representative,68,REP,Under Votes,47,25,22
Wheeler,2,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,144,79,65
Wheeler,2,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Over Votes,0,0,0
Wheeler,2,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Under Votes,71,32,39
Wheeler,2,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,146,78,68
Wheeler,2,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Over Votes,0,0,0
Wheeler,2,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Under Votes,69,33,36
Wheeler,2,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,180,95,85
Wheeler,2,"District Judge, 31st Judicial District",,REP,Over Votes,0,0,0
Wheeler,2,"District Judge, 31st Judicial District",,REP,Under Votes,36,16,20
Wheeler,2,County Judge,,REP,Jerry Dan Hefley,85,39,46
Wheeler,2,County Judge,,REP,Over Votes,0,0,0
Wheeler,2,County Judge,,REP,Under Votes,2,2,0
Wheeler,2,County Judge,,REP,Ike Finsterwald,134,70,64
Wheeler,2,District Clerk,,REP,Sherri Jones,192,98,94
Wheeler,2,District Clerk,,REP,Over Votes,0,0,0
Wheeler,2,District Clerk,,REP,Under Votes,26,13,13
Wheeler,2,County Clerk,,REP,Margaret Dorman,196,99,97
Wheeler,2,County Clerk,,REP,Over Votes,0,0,0
Wheeler,2,County Clerk,,REP,Under Votes,22,12,10
Wheeler,2,County Treasurer,,REP,Renee Warren,182,93,89
Wheeler,2,County Treasurer,,REP,Over Votes,0,0,0
Wheeler,2,County Treasurer,,REP,Under Votes,37,18,19
Wheeler,2,"Justice of the Peace, Precinct No. 1",,REP,Mark Brown,195,99,96
Wheeler,2,"Justice of the Peace, Precinct No. 1",,REP,Over Votes,0,0,0
Wheeler,2,"Justice of the Peace, Precinct No. 1",,REP,Under Votes,23,12,11
Wheeler,2,County Chairman,,REP,Elizabeth McDowell,168,87,81
Wheeler,2,County Chairman,,REP,Over Votes,0,0,0
Wheeler,2,County Chairman,,REP,Under Votes,51,24,27
Wheeler,2,Proposition 1,,,YES,126,65,61
Wheeler,2,Proposition 1,,,Over Votes,0,0,0
Wheeler,2,Proposition 1,,,Under Votes,38,18,20
Wheeler,2,Proposition 1,,,NO,53,28,25
Wheeler,2,Proposition 2,,,YES,173,90,83
Wheeler,2,Proposition 2,,,Over Votes,0,0,0
Wheeler,2,Proposition 2,,,Under Votes,30,13,17
Wheeler,2,Proposition 2,,,NO,15,8,7
Wheeler,2,Proposition 3,,,YES,162,85,77
Wheeler,2,Proposition 3,,,Over Votes,0,0,0
Wheeler,2,Proposition 3,,,Under Votes,36,15,21
Wheeler,2,Proposition 3,,,NO,19,11,8
Wheeler,2,Proposition 4,,,YES,173,89,84
Wheeler,2,Proposition 4,,,Over Votes,0,0,0
Wheeler,2,Proposition 4,,,Under Votes,26,12,14
Wheeler,2,Proposition 4,,,NO,19,10,9
Wheeler,2,Proposition 5,,,YES,118,66,52
Wheeler,2,Proposition 5,,,Over Votes,0,0,0
Wheeler,2,Proposition 5,,,Under Votes,25,13,12
Wheeler,2,Proposition 5,,,NO,75,32,43
Wheeler,2,Proposition 6,,,YES,191,96,95
Wheeler,2,Proposition 6,,,Over Votes,0,0,0
Wheeler,2,Proposition 6,,,Under Votes,22,11,11
Wheeler,2,Proposition 6,,,NO,6,4,2
Wheeler,2,Proposition 7,,,YES,152,80,72
Wheeler,2,Proposition 7,,,Over Votes,0,0,0
Wheeler,2,Proposition 7,,,Under Votes,21,10,11
Wheeler,2,Proposition 7,,,NO,46,21,25
Wheeler,2,Proposition 8,,,YES,192,98,94
Wheeler,2,Proposition 8,,,Over Votes,0,0,0
Wheeler,2,Proposition 8,,,Under Votes,19,10,9
Wheeler,2,Proposition 8,,,NO,8,3,5
Wheeler,2,Proposition 9,,,YES,188,96,92
Wheeler,2,Proposition 9,,,Over Votes,0,0,0
Wheeler,2,Proposition 9,,,Under Votes,17,7,10
Wheeler,2,Proposition 9,,,NO,13,8,5
Wheeler,2,Proposition 10,,,YES,174,89,85
Wheeler,2,Proposition 10,,,Over Votes,0,0,0
Wheeler,2,Proposition 10,,,Under Votes,29,12,17
Wheeler,2,Proposition 10,,,NO,15,10,5
Wheeler,2,Proposition 11,,,YES,172,88,84
Wheeler,2,Proposition 11,,,Over Votes,0,0,0
Wheeler,2,Proposition 11,,,Under Votes,20,11,9
Wheeler,2,Proposition 11,,,NO,27,12,15
Wheeler,3,U.S. Senate,,REP,"Bruce Jacobson, Jr.",7,4,3
Wheeler,3,U.S. Senate,,REP,Stefano de Stefano,0,0,0
Wheeler,3,U.S. Senate,,REP,Geraldine Sam,6,5,1
Wheeler,3,U.S. Senate,,REP,Over Votes,0,0,0
Wheeler,3,U.S. Senate,,REP,Under Votes,26,11,15
Wheeler,3,U.S. Senate,,REP,Ted Cruz,171,94,77
Wheeler,3,U.S. Senate,,REP,Mary Miller,8,5,3
Wheeler,3,U.S. House,13,REP,Mac Thornberry,184,104,80
Wheeler,3,U.S. House,13,REP,Over Votes,0,0,0
Wheeler,3,U.S. House,13,REP,Under Votes,34,15,19
Wheeler,3,Governor,,REP,Greg Abbott,165,98,67
Wheeler,3,Governor,,REP,SECEDE Kilgore,7,3,4
Wheeler,3,Governor,,REP,Barbara Krueger,9,4,5
Wheeler,3,Lieutenant Governor,,REP,Dan Patrick,112,71,41
Wheeler,3,Lieutenant Governor,,REP,Scott Milder,76,36,40
Wheeler,3,Lieutenant Governor,,REP,Over Votes,0,0,0
Wheeler,3,Lieutenant Governor,,REP,Under Votes,29,12,17
Wheeler,3,Attorney General,,REP,Ken Paxton,165,99,66
Wheeler,3,Comptroller of Public Accounts,,REP,Glenn Hegar,154,93,61
Wheeler,3,Comptroller of Public Accounts,,REP,Over Votes,0,0,0
Wheeler,3,Comptroller of Public Accounts,,REP,Under Votes,61,26,35
Wheeler,3,Commissioner of the General Land Office,,REP,Rick Range,16,5,11
Wheeler,3,Commissioner of the General Land Office,,REP,George P. Bush,132,74,58
Wheeler,3,Commissioner of the General Land Office,,REP,Jerry Patterson,23,16,7
Wheeler,3,Commissioner of the General Land Office,,REP,Davey Edwards,8,7,1
Wheeler,3,Commissioner of the General Land Office,,REP,Over Votes,0,0,0
Wheeler,3,Commissioner of the General Land Office,,REP,Under Votes,37,17,20
Wheeler,3,Commissioner of Agriculture,,REP,Sid Miller,95,59,36
Wheeler,3,Commissioner of Agriculture,,REP,Trey Blocker,31,19,12
Wheeler,3,Commissioner of Agriculture,,REP,Jim Hogan,24,14,10
Wheeler,3,Railroad Commissioner,,REP,Christi Craddick,113,76,37
Wheeler,3,Railroad Commissioner,,REP,Over Votes,0,0,0
Wheeler,3,Railroad Commissioner,,REP,Under Votes,70,25,45
Wheeler,3,Railroad Commissioner,,REP,Weston Martinez,32,18,14
Wheeler,3,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,142,92,50
Wheeler,3,"Justice, Supreme Court, Place 2",,REP,Over Votes,0,0,0
Wheeler,3,"Justice, Supreme Court, Place 2",,REP,Under Votes,73,27,46
Wheeler,3,"Justice, Supreme Court, Place 4",,REP,John Devine,139,89,50
Wheeler,3,"Justice, Supreme Court, Place 4",,REP,Over Votes,0,0,0
Wheeler,3,"Justice, Supreme Court, Place 4",,REP,Under Votes,76,30,46
Wheeler,3,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,140,91,49
Wheeler,3,"Justice, Supreme Court, Place 6",,REP,Over Votes,0,0,0
Wheeler,3,"Justice, Supreme Court, Place 6",,REP,Under Votes,73,28,45
Wheeler,3,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,95,65,30
Wheeler,3,"Presiding Judge, Court of Criminal Appeals",,REP,Over Votes,0,0,0
Wheeler,3,"Presiding Judge, Court of Criminal Appeals",,REP,Under Votes,71,23,48
Wheeler,3,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,50,31,19
Wheeler,3,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,133,88,45
Wheeler,3,"Judge, Court of Criminal Appeals, Place 7",,REP,Over Votes,0,0,0
Wheeler,3,"Judge, Court of Criminal Appeals, Place 7",,REP,Under Votes,81,31,50
Wheeler,3,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,64,45,19
Wheeler,3,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,58,38,20
Wheeler,3,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,11,5,6
Wheeler,3,"Judge, Court of Criminal Appeals, Place 8",,REP,Over Votes,0,0,0
Wheeler,3,"Judge, Court of Criminal Appeals, Place 8",,REP,Under Votes,81,31,50
Wheeler,3,State Senator,31,REP,Victor Leal,49,27,22
Wheeler,3,State Senator,31,REP,Over Votes,0,0,0
Wheeler,3,State Senator,31,REP,Under Votes,25,11,14
Wheeler,3,State Senator,31,REP,Kel Seliger,114,62,52
Wheeler,3,State Senator,31,REP,Mike Canon,30,19,11
Wheeler,3,State Representative,68,REP,Drew Springer,152,95,57
Wheeler,3,State Representative,68,REP,Over Votes,0,0,0
Wheeler,3,State Representative,68,REP,Under Votes,63,24,39
Wheeler,3,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,136,88,48
Wheeler,3,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Over Votes,0,0,0
Wheeler,3,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Under Votes,78,31,47
Wheeler,3,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,132,84,48
Wheeler,3,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Over Votes,0,0,0
Wheeler,3,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Under Votes,81,35,46
Wheeler,3,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,176,104,72
Wheeler,3,"District Judge, 31st Judicial District",,REP,Over Votes,0,0,0
Wheeler,3,"District Judge, 31st Judicial District",,REP,Under Votes,40,15,25
Wheeler,3,County Judge,,REP,Jerry Dan Hefley,93,55,38
Wheeler,3,County Judge,,REP,Over Votes,0,0,0
Wheeler,3,County Judge,,REP,Under Votes,3,1,2
Wheeler,3,County Judge,,REP,Ike Finsterwald,121,63,58
Wheeler,3,District Clerk,,REP,Sherri Jones,197,108,89
Wheeler,3,District Clerk,,REP,Over Votes,0,0,0
Wheeler,3,District Clerk,,REP,Under Votes,21,11,10
Wheeler,3,County Clerk,,REP,Margaret Dorman,198,109,89
Wheeler,3,County Clerk,,REP,Over Votes,0,0,0
Wheeler,3,County Clerk,,REP,Under Votes,20,10,10
Wheeler,3,County Treasurer,,REP,Renee Warren,179,103,76
Wheeler,3,County Treasurer,,REP,Over Votes,0,0,0
Wheeler,3,County Treasurer,,REP,Under Votes,36,16,20
Wheeler,3,"County Commissioner, Precinct No. 2",,REP,Gary Davis,94,50,44
Wheeler,3,"County Commissioner, Precinct No. 2",,REP,Over Votes,0,0,0
Wheeler,3,"County Commissioner, Precinct No. 2",,REP,Under Votes,10,5,5
Wheeler,3,"County Commissioner, Precinct No. 2",,REP,Bob Hink,113,64,49
Wheeler,3,"Justice of the Peace, Precinct No. 1",,REP,Mark Brown,194,109,85
Wheeler,3,"Justice of the Peace, Precinct No. 1",,REP,Over Votes,0,0,0
Wheeler,3,"Justice of the Peace, Precinct No. 1",,REP,Under Votes,22,10,12
Wheeler,3,County Chairman,,REP,Elizabeth McDowell,174,102,72
Wheeler,3,County Chairman,,REP,Over Votes,0,0,0
Wheeler,3,County Chairman,,REP,Under Votes,44,17,27
Wheeler,3,Proposition 1,,,YES,105,68,37
Wheeler,3,Proposition 1,,,Over Votes,0,0,0
Wheeler,3,Proposition 1,,,Under Votes,46,16,30
Wheeler,3,Proposition 1,,,NO,63,35,28
Wheeler,3,Proposition 2,,,YES,166,95,71
Wheeler,3,Proposition 2,,,Over Votes,0,0,0
Wheeler,3,Proposition 2,,,Under Votes,30,12,18
Wheeler,3,Proposition 2,,,NO,22,12,10
Wheeler,3,Proposition 3,,,YES,159,91,68
Wheeler,3,Proposition 3,,,Over Votes,0,0,0
Wheeler,3,Proposition 3,,,Under Votes,38,14,24
Wheeler,3,Proposition 3,,,NO,21,14,7
Wheeler,3,Proposition 4,,,YES,165,91,74
Wheeler,3,Proposition 4,,,Over Votes,0,0,0
Wheeler,3,Proposition 4,,,Under Votes,27,14,13
Wheeler,3,Proposition 4,,,NO,25,14,11
Wheeler,3,Proposition 5,,,YES,105,64,41
Wheeler,3,Proposition 5,,,Over Votes,0,0,0
Wheeler,3,Proposition 5,,,Under Votes,30,17,13
Wheeler,3,Proposition 5,,,NO,83,38,45
Wheeler,3,Proposition 6,,,YES,179,98,81
Wheeler,3,Proposition 6,,,Over Votes,0,0,0
Wheeler,3,Proposition 6,,,Under Votes,28,15,13
Wheeler,3,Proposition 6,,,NO,11,6,5
Wheeler,3,Proposition 7,,,YES,139,71,68
Wheeler,3,Proposition 7,,,Over Votes,0,0,0
Wheeler,3,Proposition 7,,,Under Votes,30,18,12
Wheeler,3,Proposition 7,,,NO,48,30,18
Wheeler,3,Proposition 8,,,YES,181,98,83
Wheeler,3,Proposition 8,,,Over Votes,0,0,0
Wheeler,3,Proposition 8,,,Under Votes,27,16,11
Wheeler,3,Proposition 8,,,NO,10,5,5
Wheeler,3,Proposition 9,,,YES,171,95,76
Wheeler,3,Proposition 9,,,Over Votes,0,0,0
Wheeler,3,Proposition 9,,,Under Votes,28,16,12
Wheeler,3,Proposition 9,,,NO,19,8,11
Wheeler,3,Proposition 10,,,YES,170,93,77
Wheeler,3,Proposition 10,,,Over Votes,0,0,0
Wheeler,3,Proposition 10,,,Under Votes,33,19,14
Wheeler,3,Proposition 10,,,NO,14,7,7
